"track","artist","uri","danceability","energy","key","loudness","mode","speechiness","acousticness","instrumentalness","liveness","valence","tempo","duration_ms","time_signature","chorus_hit","sections","target","Decade"
"Bye Bye Baby","Mary Wells","spotify:track:4HnfN3T1gJ88zmHiafIYcW",0.598,0.448,4,-14.978,0,0.0399,0.832,0.471,0.588,0.832,124.875,169133,4,57.17076,8,1,"1960"
"A Festa dos Seus 15 Anos","Leño","spotify:track:6ON2VernjxCS5z6lHdoGFl",0.521,0.396,5,-12.299,1,0.0463,0.576,0.000893,0.462,0.599,82.628,179600,4,48.36482,8,0,"1960"
"My Empty Arms","Jackie Wilson","spotify:track:7CHmNiReghVLKbD032HHwz",0.356,0.45,6,-6.677,1,0.03,0.924,0.000206,0.128,0.313,74.4,172453,4,18.25243,13,1,"1960"
"Alfômega - Remastered 2006","Caetano Veloso","spotify:track:4DEodNc5zttV2UGiKMqtGw",0.493,0.666,11,-8.209,1,0.0967,0.041,4.42e-05,0.351,0.519,123.446,357747,4,90.21302,14,0,"1960"
"Parsifal: ""Wehevolles Erbe, dem ich verfallen""","Staatskapelle Berlin","spotify:track:1NI44QQk2rKTSOqrm6eT0Q",0.147,0.246,1,-16.997,1,0.0504,0.964,0.115,0.113,0.0387,74.94,464533,4,76.04885,18,0,"1960"
"Let The Good Times Roll","Shirley & Lee","spotify:track:2ePDfIXoP2HmC1hfsujb2J",0.502,0.445,1,-9.562,1,0.0688,0.481,0,0.0823,0.939,140.988,145653,4,18.90465,6,1,"1960"
"I'm Here To Get My Baby Out Of Jail","The Everly Brothers","spotify:track:1E5cZzKmVgLLJcLI6HPbn4",0.48,0.225,3,-15.402,1,0.031,0.78,0,0.0877,0.58,128.017,217907,4,25.38117,13,1,"1960"
"Yester-Me, Yester-You, Yesterday","Stevie Wonder","spotify:track:0l9RGwc48deJ6j61KXAAvs",0.604,0.357,6,-11.419,1,0.0269,0.0311,0,0.0927,0.638,100.721,185293,4,21.60974,9,1,"1960"
"Dominica Prima Adventus. Alleluia, Ostende: VIII Mode","Traditional","spotify:track:6ZUVIQacko5RG3R4AKH9vC",0.213,0.0581,8,-22.425,0,0.0487,0.982,0.69,0.167,0.0395,84.048,175453,4,60.08926,6,0,"1960"
"Montague Terrace (In Blue)","Scott Walker","spotify:track:0X7N5udP0MTvfsikLHfHrR",0.427,0.14,9,-19.857,0,0.034,0.549,1.03e-06,0.0443,0.293,137.787,207293,4,70.51508,8,0,"1960"
"Madama Butterfly, Act II: Or vienmi ad adornar (Suzuki, Butterfly)","Giacomo Puccini","spotify:track:3L1N3o2OiYgcyJUovwPl0p",0.26,0.0248,4,-24.431,0,0.0421,0.979,0.000378,0.228,0.0371,105.846,335867,4,49.09065,15,0,"1960"
"Mother-In-Law","Ernie K-Doe","spotify:track:39h384i9hij2H9Qtl9XUuu",0.81,0.524,7,-9.77,0,0.0339,0.77,1.03e-05,0.161,0.949,130.214,153093,4,32.41693,8,1,"1960"
"Keep On Trying","Bobby Vee","spotify:track:4mmoOJwXcf0nEH0Z2wivAV",0.498,0.527,5,-9.263,1,0.0298,0.0789,0,0.571,0.868,123.042,158267,4,31.82922,9,1,"1960"
"Can't Buy Me Love","The Beatles","spotify:track:3EQBI1Fiv7z3QfqTeb9Tqk",0.844,0.299,0,-12.645,1,0.0621,0.848,0.844,0.102,0.566,102.088,131176,4,20.00939,6,1,"1960"
"Lonely Little Girl","Frank Zappa","spotify:track:395nYO9cxtDIzRq1o4lp3q",0.463,0.463,8,-12.178,1,0.0349,0.616,0.00157,0.584,0.811,109.603,69827,4,21.74699,5,0,"1960"
"Yaaraithaan Nambuvatho","P. Susheela","spotify:track:4rnhIR4I4NMjIngBW7adcF",0.431,0.551,1,-12.732,1,0.0526,0.885,0.875,0.128,0.64,79.14,219240,4,23.24725,13,0,"1960"
"Just Be Sincere","Jackie Wilson","spotify:track:0ydH7amZ8mOIVE2GIfOYx1",0.515,0.699,0,-7.316,0,0.0483,0.657,0,0.154,0.783,111.28,175400,4,34.57855,9,1,"1960"
"Cien Kilos de Barro (100 Pounds of Clay)","Enrique Guzman","spotify:track:4EuH5egzbPHEXadXd86uLu",0.528,0.493,0,-12.346,1,0.0298,0.414,0,0.674,0.888,118.575,156507,4,29.90294,8,0,"1960"
"Come Rain Or Come Shine","Ray Charles","spotify:track:2htH7r8oqqEwp3BB6oh2cU",0.357,0.216,3,-12.833,1,0.0343,0.767,4.31e-06,0.531,0.283,119.57,222733,4,37.34774,10,1,"1960"
"Caprice viennois","Fritz Kreisler","spotify:track:2KGzzTDGv5cRSs8tmfzPLB",0.283,0.0811,11,-20.653,1,0.047,0.982,0.771,0.0897,0.0797,88.961,236080,4,20.71075,12,0,"1960"
"Uma Especial Oração (My Special Prayer)","Jerry Adriani","spotify:track:2i8ttrZVcTVmMnR2s6F8Ey",0.56,0.821,7,-4.09,1,0.0313,0.0853,0.000215,0.0592,0.793,117.568,148560,4,47.26445,6,0,"1960"
"If You Never Come To Me (Inútil Paisagen)","Antônio Carlos Jobim","spotify:track:1Dv7lvKVxBJg9fCWTA7Dt0",0.337,0.172,0,-16.735,1,0.031,0.784,0.000454,0.102,0.106,97.055,131587,4,41.29263,5,0,"1960"
"Ebrio","Gerardo Reyes","spotify:track:09HWxCp7DZmbBJn6Dg1ob8",0.565,0.358,0,-8.442,0,0.0259,0.579,0,0.198,0.535,100.826,155307,4,44.69729,10,0,"1960"
"I Idolize You","Ike & Tina Turner","spotify:track:7DLwLYJH0AJte6XK9ZTmOc",0.743,0.398,2,-8.328,0,0.048,0.808,0,0.106,0.833,118.568,170827,4,28.82001,9,1,"1960"
"Españolito","Joan Manuel Serrat","spotify:track:1QxwjJhroDhlT7BC77Rlbt",0.555,0.658,0,-4.487,1,0.0445,0.164,0,0.0363,0.44,120.911,77907,4,40.76595,4,0,"1960"
"See You In September","The Happenings","spotify:track:2caREKLVN9PbVDe9EPzXjc",0.519,0.422,4,-8.732,1,0.0282,0.864,0,0.332,0.803,128.956,147227,4,30.01333,9,1,"1960"
"Where Did Our Love Go","The Supremes","spotify:track:69RH84na5iUNwrwxpgjC5j",0.566,0.49,0,-10.867,1,0.0414,0.791,1.42e-05,0.0919,0.847,134.934,153333,4,21.35312,9,1,"1960"
"Inolvidable","Tito Rodriguez","spotify:track:4WWYBTpa9J6A7RZht1LtzW",0.257,0.378,5,-9.61,1,0.0329,0.739,6.12e-05,0.12,0.385,81.541,193853,4,28.47678,11,0,"1960"
"Hip City - Pt. 2","Jr. Walker & The All Stars","spotify:track:0cduoX64cRfzLvdapbCsBH",0.611,0.686,0,-10.647,0,0.0508,0.126,0.00129,0.38,0.701,147.076,177973,4,97.57327,7,1,"1960"
"How Sweet It Is To Be Loved By You","Marvin Gaye","spotify:track:2zF8ro2hX0aEYaqXQdEKW1",0.653,0.49,0,-10.106,1,0.0408,0.323,4.13e-06,0.0832,0.963,110.202,177773,4,45.44257,8,1,"1960"
"For Once In My Life","Tony Bennett","spotify:track:4UywFB7lROzFHNj7JLoWst",0.203,0.375,0,-8.781,1,0.0346,0.862,4.89e-05,0.137,0.222,71.94,186520,4,36.57447,9,1,"1960"
"When the World Ends / Epitaph / Farewell and Thanksgiving","Mark Van Doren","spotify:track:5EEiumR4AX4HS49HkbZBKa",0.721,0.137,1,-22.806,1,0.952,0.934,1e-04,0.128,0.495,86.454,106867,4,62.04209,4,0,"1960"
"Si Tuviera Tu Amor","La Sonora Matancera","spotify:track:0zN3hKYeFGdu1MzPjZKUVA",0.597,0.365,2,-12.031,0,0.0794,0.458,0,0.438,0.782,127.97,159133,4,53.1298,8,0,"1960"
"Russell And Eliot","Yusef Lateef","spotify:track:4UQSW8KVwb7EH7mwwy26BD",0.559,0.41,9,-13.831,0,0.0495,0.224,0.78,0.0608,0.618,140.173,293147,4,45.08015,15,0,"1960"
"Thamizh Engal Uyiranathu","P. Susheela","spotify:track:0kbPUGzB6rZ7xLLmwD4xwk",0.475,0.474,3,-13.897,1,0.273,0.488,0.00501,0.0756,0.965,90.467,277013,4,34.274,11,0,"1960"
"For What It's Worth","The Staple Singers","spotify:track:4la9jiqXYHQlEwbRhqYsd7",0.763,0.621,2,-9.908,1,0.0374,0.655,0,0.158,0.825,103.309,144320,4,33.20734,6,1,"1960"
"Take The ""A"" Train","Maynard Ferguson","spotify:track:0OOA8Spapd6e7egjXzO55Z",0.468,0.756,0,-7.37,1,0.0969,0.619,0.956,0.319,0.718,124.191,166147,4,30.49287,10,0,"1960"
"La Suegra (Mother in Law)","Los Teen Tops","spotify:track:2VP5MCr94Weu9VEiGcNjts",0.583,0.556,8,-12.165,0,0.0339,0.372,0,0.676,0.783,133.215,150373,4,59.0632,7,0,"1960"
"Boi Bumbá","Luiz Gonzaga","spotify:track:2snTBcopXQK60YFdRqWGHZ",0.611,0.697,9,-8.43,1,0.0437,0.406,0,0.24,0.971,139.521,182067,4,36.37854,9,0,"1960"
"Werewolf Watusi","Don Hinson & The Rigamorticians","spotify:track:1nF0BDdg5b9grwiYWSlh80",0.762,0.496,7,-12.845,0,0.289,0.493,0,0.325,0.704,122.049,155121,4,34.19932,9,0,"1960"
"Esta Noite Me Embriago (Esta Noche Me Emborracho)","Nelson Gonçalves","spotify:track:6anfUhkWKCJ96yDcJCTPKd",0.603,0.513,1,-7.329,1,0.0582,0.843,0,0.357,0.732,121.325,193282,4,32.60556,10,0,"1960"
"Is It Really Over?","Jim Reeves","spotify:track:5FGJkdpDfTsNsEYcbPnPtB",0.275,0.241,10,-14.526,1,0.0293,0.805,0.0124,0.135,0.221,80.842,134640,4,59.05727,7,1,"1960"
"Baby You're A Rich Man","The Beatles","spotify:track:0JBvtprXP2Z0LP3jmzA7Xp",0.619,0.625,7,-9.635,1,0.036,0.0119,1.05e-06,0.152,0.467,96.751,181307,4,21.41004,9,1,"1960"
"Largo","Paulinho Nogueira","spotify:track:3JVdP3NQGTbbnHBMErEotb",0.608,0.0113,5,-32.324,1,0.0677,0.934,0.812,0.107,0.15,115.358,175800,4,51.19907,8,0,"1960"
"Il faut savoir","Charles Aznavour","spotify:track:49JOhwYn6wFbuDakUskuOv",0.492,0.47,0,-8.732,1,0.0275,0.703,0,0.373,0.559,110.284,188307,3,41.04032,10,0,"1960"
"Ya Parte el Galgo Terrible","Victor Jara","spotify:track:7hp9YYJ9xwR6EasS4eEEdI",0.728,0.669,9,-8.755,0,0.24,0.857,0,0.11,0.862,126.755,111827,3,28.09344,7,0,"1960"
"Happy Birthday, Sweet Sixteen","Neil Sedaka","spotify:track:5ttys6S3vGWCgOpiuB5axN",0.498,0.796,8,-4.882,1,0.0453,0.607,0,0.3,0.906,79.648,157027,4,30.47367,9,1,"1960"
"Gentleness","David Lindup","spotify:track:0MsXXwh5ahTSc4haH3zfbl",0.24,0.0867,7,-18.238,0,0.0304,0.959,0.95,0.111,0.0371,98.185,97218,4,32.00987,6,0,"1960"
"The First Noel","Traditional","spotify:track:1XDyjHSfSsdHppRZpkJlzc",0.238,0.28,3,-11.502,1,0.0307,0.943,8.26e-05,0.331,0.275,77.224,189800,3,26.61457,9,0,"1960"
"The Lone Teen Ranger","Jerry Landis","spotify:track:2bTnyC2hJc8U5mXcCL0Mtf",0.402,0.789,9,-6.148,1,0.124,0.891,0,0.294,0.949,172.346,139440,4,32.58046,7,1,"1960"
"Running Bear","Johnny Preston","spotify:track:1RYznli2VNO7FCbW1Hq4KM",0.772,0.297,5,-14.679,0,0.053,0.854,7.59e-06,0.125,0.822,119.987,158200,4,24.09932,10,1,"1960"
"Sad, Sad Girl","Barbara Mason","spotify:track:5lSElmz9CNo1FZJRwrmnQx",0.306,0.495,5,-7.663,1,0.0273,0.621,0,0.37,0.666,165.462,193733,3,39.36782,10,1,"1960"
"Zelda's Theme","Pérez Prado","spotify:track:7cSm6RF5oP4rw3d40pfY5b",0.849,0.898,7,-6.064,1,0.0388,0.734,0.865,0.0438,0.967,134.396,120987,4,44.15837,5,0,"1960"
"Amor","Ben E. King","spotify:track:2U95mnxcqpr394uCZncG4R",0.548,0.566,10,-11.876,1,0.0307,0.672,1.22e-05,0.112,0.805,100.813,187400,4,40.80977,10,1,"1960"
"Some Things You Never Get Used To","Diana Ross & The Supremes","spotify:track:3C9Vv8OkqQwJ0CqB24d7Ty",0.668,0.835,0,-0.507,0,0.0341,0.0941,1.17e-06,0.116,0.821,125.228,145293,4,20.93334,9,1,"1960"
"There'll Come A Time","Betty Everett","spotify:track:1F9EDKGRTOTZwQ3xje2n55",0.66,0.743,8,-6.881,1,0.0325,0.302,0.0205,0.134,0.96,122.668,155867,4,33.07734,8,1,"1960"
"The Rains Came","Sir Douglas Quintet","spotify:track:4oeOG0zp2WYyL2ZQKD1gbR",0.573,0.671,7,-4.964,1,0.0308,0.495,1.5e-05,0.0487,0.932,132.734,136520,4,44.17469,7,1,"1960"
"The Loop","Johnny Lytle","spotify:track:6g5NZg2VXJobSX3TmXq9nQ",0.784,0.508,0,-9.541,0,0.039,0.641,0.508,0.084,0.488,121.314,138493,4,52.50819,7,1,"1960"
"Jingle Jangle","The Archies","spotify:track:1nSZe7ly7kCTcNBkTzV40y",0.625,0.472,2,-11.18,1,0.0387,0.0368,0,0.148,0.617,109.302,162151,4,27.22585,9,1,"1960"
"Blue Autumn","Bobby Goldsboro","spotify:track:1Vp8fFUPiBLc6LuSemiahz",0.515,0.348,0,-12.457,1,0.0253,0.453,0.000227,0.339,0.266,92.746,185139,4,16.4416,11,1,"1960"
"Tell Him","The Exciters","spotify:track:7rGOWzo4evAQQ2FzrSKp0B",0.708,0.616,5,-10.827,1,0.198,0.445,0,0.299,0.908,177.061,156160,4,33.57208,8,1,"1960"
"Out Of Limits","The Marketts","spotify:track:7xAJpAeopaV6rilu3iiwME",0.485,0.779,7,-14.235,1,0.039,0.367,0.432,0.18,0.483,133.223,129293,4,63.91615,8,1,"1960"
"The Letter","The Box Tops","spotify:track:6RJK553YhstRzyKA4mug09",0.638,0.428,9,-12.156,0,0.0687,0.252,0,0.132,0.901,139.434,112800,4,21.22195,6,1,"1960"
"Canción Mixteca (Qué Lejos Estoy)","Guty Cárdenas","spotify:track:5YiWWyZGN1X8WLGw4Az17h",0.468,0.102,11,-17.171,1,0.0381,0.995,0.000853,0.166,0.312,165.59,177253,4,36.73757,9,0,"1960"
"Just A Little Bit Better","Herman's Hermits","spotify:track:3mHv5hJCuFTvz3nomrFRJz",0.622,0.644,3,-7.484,1,0.0367,0.586,0,0.0594,0.666,139.166,173653,4,20.97044,10,1,"1960"
"Black Verse - Part 2","Langston Hughes","spotify:track:3BEXJuImGA6ivhEEMDqLuR",0.614,0.151,1,-13.432,1,0.866,0.636,0,0.507,0.463,63.642,1109787,4,57.97933,50,0,"1960"
"People Are Strange","The Doors","spotify:track:1Jmqubf9kGkWeYQXQKImL5",0.699,0.467,4,-8.578,0,0.0375,0.685,0,0.315,0.764,119.287,130173,4,40.04655,8,1,"1960"
"Let It Out (Let It All Hang Out)","The Hombres","spotify:track:2WEuOkrct2jGDHkBYVCkmZ",0.604,0.505,9,-12.404,1,0.0487,0.146,0.000286,0.0975,0.707,121.588,124080,4,40.20506,7,1,"1960"
"Mexican Highway","Syd Dale","spotify:track:0uEG7TrRwIdyyJsFX7nIJT",0.78,0.429,0,-11.808,0,0.0445,0.217,0.0247,0.11,0.904,146.477,159418,4,25.37664,8,0,"1960"
"Comment te dire adieu - Remasterisé en 2016","Françoise Hardy","spotify:track:6g5qyQrAcoBX4X7XjxBoTO",0.711,0.586,10,-9.78,0,0.0514,0.435,6.48e-06,0.15,0.931,124.058,148507,4,57.92996,7,0,"1960"
"Medley: Mode D-Trio and Group Dancers/Mode E- Single solos and Group Dance/ModeF-Group and Solo Dance","Charles Mingus","spotify:track:6La6a40pMKEoxtpmruuzaP",0.304,0.519,8,-8.825,1,0.0359,0.21,0.00187,0.221,0.294,101.289,1119400,4,41.68337,41,0,"1960"
"Sebastiana","Gilberto Gil","spotify:track:574L9iq6vqO8EmTPUuQFKF",0.567,0.539,11,-13.61,1,0.126,0.292,0,0.0594,0.933,138.105,144627,4,54.7542,7,0,"1960"
"Bold Soul Sister","Ike & Tina Turner","spotify:track:6g2RtR71Qj12dKQIwPpFJc",0.775,0.688,3,-12.959,1,0.0699,0.224,0.0411,0.117,0.93,94.143,158508,4,42.2136,8,1,"1960"
"Départ de Renaud","André Hossein","spotify:track:5KBrcHCfaOnDDw4F4JBtPZ",0.145,0.167,9,-21.377,1,0.0289,0.807,0.0506,0.117,0.117,84.766,66101,4,27.23322,5,0,"1960"
"Seventh Heaven","The Hippy Boys","spotify:track:6sHZxZqemvmfGYL7rnGhg9",0.87,0.546,0,-13.393,1,0.0572,0.247,0.849,0.104,0.929,135.676,211693,4,35.10797,9,0,"1960"
"The Young Person's Guide to the Orchestra, Op. 34 (Variations and Fugue on a Theme of Purcell): Theme A. Allegro maestoso e largamente","Benjamin Britten","spotify:track:4Ry4jlZF6yt9b8HMpMFPls",0.559,0.121,2,-19.291,0,0.443,0.888,0,0.651,0.443,82.343,60067,4,32.68329,3,0,"1960"
"Leader Of The Laundromat","The Detergents","spotify:track:5jEsZaQqkEwJW0yovgo1h5",0.444,0.621,7,-9.138,0,0.271,0.697,2.51e-06,0.108,0.52,141.465,192293,4,65.42569,9,1,"1960"
"Ain't That Just Like Me","The Searchers","spotify:track:3OHz1Hr64jByifpOS61exg",0.371,0.929,9,-5.37,1,0.133,0.646,0,0.348,0.836,157.875,145227,4,34.36707,7,1,"1960"
"Searching For My Love","Bobby Moore & The Rhythm Aces","spotify:track:0Q25xKgIaiT5JTDCT0qMea",0.677,0.661,4,-5.136,1,0.0436,0.114,5.44e-06,0.215,0.801,98.309,152693,4,37.60629,7,1,"1960"
"Till You Return","Scott Walker","spotify:track:4LTPr8iaA7mzJBt1OosPDi",0.57,0.551,8,-4.373,1,0.0283,0.689,5.88e-05,0.332,0.734,127.195,133413,4,31.31975,8,0,"1960"
"Madama Butterfly, Act I: Quanto cielo!....Ancora un passo or via (Coro/Butterfly/Sharpless) - 1986 Remastered Version","Giacomo Puccini","spotify:track:5uHVRtAGXKZE7GTIABf9P7",0.145,0.187,6,-17.613,1,0.0404,0.942,0.00277,0.0958,0.039,86.726,226333,4,40.63766,9,0,"1960"
"Past, Present And Future","The Shangri-Las","spotify:track:6ozkTvpSzrRK9vJCMksza3",0.349,0.208,8,-15.491,1,0.037,0.799,0.217,0.13,0.176,135.098,160267,3,24.0336,11,1,"1960"
"Atlantis","Donovan","spotify:track:0kcEK7YuNNfE7jiTnXS1cm",0.326,0.313,0,-16.17,1,0.0348,0.177,0.000569,0.0828,0.344,76.785,302640,4,33.53011,13,1,"1960"
"The end of a spy - Fine di una spia","Ennio Morricone","spotify:track:52kjRgphviNyFDG5kHZy19",0.211,0.578,7,-5.611,1,0.0465,0.864,0.907,0.11,0.0553,109.781,76933,4,50.55957,4,0,"1960"
"While I Was Walking","Tommy McCook","spotify:track:5kNJRAFisE2wGJm8HvgLFC",0.683,0.464,0,-12.06,1,0.0566,0.0859,0.0632,0.152,0.657,89.62,143373,4,33.79143,6,0,"1960"
"My Song","Aretha Franklin","spotify:track:2vn07tyGKthmxKx9H2qjyF",0.458,0.25,1,-8.087,1,0.0324,0.461,0,0.136,0.412,121.074,209080,3,29.1455,12,1,"1960"
"Julia","Ramsey Lewis","spotify:track:75g38CqUeSfxh89MM1roXK",0.471,0.579,0,-12.62,1,0.0278,0.123,0.68,0.429,0.386,93.206,259360,4,41.9211,12,1,"1960"
"Song of the Crib","Traditional","spotify:track:2GT4j0OZFnye66XLLtQxbj",0.342,0.171,3,-16.481,1,0.0421,0.988,0,0.102,0.285,79.671,221453,4,40.65516,10,0,"1960"
"We Will Fall (John Cale Mix) - 2019 Remaster","The Stooges","spotify:track:66aRKPKxYf8oL55hqCvhzZ",0.205,0.398,5,-12.075,1,0.0322,0.163,6.48e-05,0.0542,0.0376,108.381,621267,4,57.37844,25,0,"1960"
"Femmina - Seq. 3","Carlo Savina","spotify:track:500c6CQG13zNIwZpCc2fQ6",0.475,0.318,8,-12.671,1,0.0487,0.935,0.902,0.0736,0.167,81.85,167900,3,94.28511,4,0,"1960"
"Country Blues","Doc Watson","spotify:track:4TXtgaRXTR68GKG9p9bZQU",0.563,0.447,0,-15.218,1,0.0323,0.81,0.00484,0.186,0.743,127.384,213000,4,25.19069,12,0,"1960"
"La Virgen Lava Pañales","Traditional","spotify:track:6LLbwcna7OU0Pt0RW1gkpM",0.18,0.196,10,-20.103,1,0.0361,0.981,0.217,0.153,0.0621,65.829,311267,4,37.59476,15,0,"1960"
"The Cave","Jerry Goldsmith","spotify:track:37EPgMdzouRyUPeKwbr3Lu",0.253,0.04,11,-25.433,0,0.0391,0.661,0.302,0.114,0.0379,93.606,80707,3,14.29188,3,0,"1960"
"Marcia - Marcetta","Ennio Morricone","spotify:track:68x0AP99Y1CAXH8hIgd0uC",0.122,0.331,11,-12.269,0,0.0339,0.824,0.453,0.105,0.0361,59.859,172200,4,70.61536,6,0,"1960"
"Mississippi River Blues","Bob Wills","spotify:track:2RYcc5BtFsYMxuvIrOoz8B",0.597,0.29,2,-9.367,1,0.0507,0.821,0,0.287,0.377,107.706,179733,4,18.3724,10,0,"1960"
"Brazil (Aka Aquarela do Brasil)","Antônio Carlos Jobim","spotify:track:6tkseXybAYPQUNl2FFxnA7",0.519,0.38,10,-22.881,0,0.0378,0.384,0.889,0.0659,0.72,112.145,579467,4,41.12642,29,0,"1960"
"Le nozze di Figaro, K.492 / Act 3: ""Sull’aria ... Che soave zeffiretto""","Wolfgang Amadeus Mozart","spotify:track:7oMlqOqSLszoitbRQTKAen",0.218,0.0625,10,-22.482,1,0.0463,0.991,1.82e-05,0.427,0.0826,79.981,210533,4,51.91726,9,0,"1960"
"Canto Karabali","Ernesto Lecuona","spotify:track:4Tk0UyQb1fY4NbbmrhFBo3",0.343,0.364,2,-16.701,0,0.103,0.341,0.0966,0.0413,0.393,137.348,192280,4,28.26109,9,0,"1960"
"I Do","The Marvelows","spotify:track:3Zs0dCcOoAkxwnYuKYCWZP",0.543,0.715,9,-5.195,1,0.0579,0.752,0,0.107,0.862,99.055,150307,4,79.33959,5,1,"1960"
"Just Out Of Reach (Of My Two Empty Arms)","Percy Sledge","spotify:track:2vIDyd6H5Cdg1vybC8y2iV",0.374,0.148,7,-15.452,1,0.0305,0.467,7.25e-05,0.244,0.51,177.214,213573,3,29.53272,12,1,"1960"
"Guaguancó En Tropicana","Tito Puente","spotify:track:0glxeAEM9wVVjIMf3EUSHr",0.587,0.715,3,-5.48,1,0.115,0.482,0,0.0976,0.951,155.946,206021,4,67.47362,8,0,"1960"
"You Mean The World To Me","David Houston","spotify:track:7DInsiLkwZbv37GM8XlvUm",0.585,0.377,5,-13.253,1,0.0407,0.856,0.053,0.105,0.431,120.386,135640,3,57.26536,7,1,"1960"
"Hum Allah Hum Allah Hum Allah","Pharoah Sanders","spotify:track:71DfiueMJMIs8D0djEgiyz",0.438,0.559,6,-10.725,0,0.0457,0.667,0.0161,0.0524,0.585,105.369,910227,4,25.99429,35,0,"1960"
"Alabam","Cowboy Copas","spotify:track:6x8EqpeM8XzeoEKfatpSYP",0.719,0.653,2,-11.572,1,0.0305,0.378,0.00364,0.129,0.96,106.718,139907,4,38.28275,9,1,"1960"
"In My Father's House - Live","Harry Belafonte","spotify:track:1iJqYr3sm8KyTIji4GVWZf",0.562,0.646,0,-10.697,0,0.0532,0.491,0,0.902,0.798,98.019,211091,4,41.66217,7,0,"1960"
"Tossing & Turning","The Ivy League","spotify:track:5q8U2NsIc57QWjY7MZi371",0.586,0.51,9,-9.072,1,0.0379,0.463,0,0.221,0.638,119.045,146187,4,41.28802,7,1,"1960"
"Mokka Jonna Thotalo","P. Susheela","spotify:track:7hk3WgbCg8onYoxb0Ujaq9",0.62,0.599,5,-4.746,1,0.28,0.899,0.00182,0.156,0.835,157.555,273920,3,40.2211,12,0,"1960"
"Hickory, Dick And Doc","Bobby Vee","spotify:track:7hXngqMDRqkAFrEIBy3ewq",0.7,0.626,3,-11.611,1,0.0315,0.72,6.55e-05,0.0974,0.964,112.826,148640,4,29.03452,9,1,"1960"
"Strange I Know","The Marvelettes","spotify:track:4DsbXVlHJfvvHAhg2WfPO9",0.632,0.758,0,-3.414,1,0.0257,0.551,0.0446,0.173,0.948,109.427,140987,4,26.75254,8,1,"1960"
